DELIVERY_UUID,DELIV_CREATED_AT_EDT,DELIV_STORE_NAME,DELIV_SUBMARKET,DELIV_DASHER_ID,DELIV_D2R,DELIV_IS_20_MIN_LATE,DELIV_CLAT,WAS_CANCELLED,DELIV_MISSING_INCORRECT_REPORT_BINARY,n_items_requested,n_missing,n_subbed,n_found,order_value,avg_item_price,n_categories,has_alcohol,has_perishable,missing_rate,sub_rate,unfulfilled_rate,plain_missing_rate,hour,dow,is_weekend,daypart,STORE_GRP,dasher_assigned,cluster_id
9e985454-9df8-4c3c-8469-ddc02de1b2f1,2022-10-14 19:52:59.808,Grocery1,Cincinnati,,,0,,1,0,1,1,0,0,10.99,10.99,1,1,0,1.0,0.0,1.0,1.0,19,Friday,False,Evening(18-21),Grocery1,0,unassigned_9e985454-9df8-4c3c-8469-ddc02de1b2f1
fad7a1dd-7c6f-4dad-9655-313297ab17ff,2022-10-14 12:40:02.784,DashMart1,Cincinnati,,,0,,1,0,4,0,0,0,12.86,3.215,3,0,1,0.0,0.0,0.0,0.0,12,Friday,False,Midday(11-14),DashMart1,0,unassigned_fad7a1dd-7c6f-4dad-9655-313297ab17ff
4504497e-2d5e-421b-b014-4cfeba23841d,2022-10-14 10:16:00.192,Grocery1,Cincinnati,,,0,,1,0,10,0,0,0,42.35,4.235,5,0,1,0.0,0.0,0.0,0.0,10,Friday,False,Morning(6-10),Grocery1,0,unassigned_4504497e-2d5e-421b-b014-4cfeba23841d
b9182166-11ef-4441-8931-5e7945afa858,2022-10-13 20:22:16.320,Grocery1,Cincinnati,,,0,,1,0,2,0,0,0,18.34,9.17,2,1,0,0.0,0.0,0.0,0.0,20,Thursday,False,Evening(18-21),Grocery1,0,unassigned_b9182166-11ef-4441-8931-5e7945afa858
3737380b-d19e-41fd-807f-3d2d4a4ec2da,2022-10-13 15:55:37.632,Grocery2,Cincinnati,,,0,,1,0,1,1,0,0,10.45,10.45,1,0,0,1.0,0.0,1.0,1.0,15,Thursday,False,Afternoon(15-17),Grocery2/3,0,unassigned_3737380b-d19e-41fd-807f-3d2d4a4ec2da
8c861745-03d4-46a2-9b11-2cd52d0e9896,2022-10-13 16:45:07.200,Grocery2,Cincinnati,,,0,,1,0,7,0,0,0,28.95,4.135714285714285,4,0,1,0.0,0.0,0.0,0.0,16,Thursday,False,Afternoon(15-17),Grocery2/3,0,unassigned_8c861745-03d4-46a2-9b11-2cd52d0e9896
6a27ea34-dcb0-433f-992e-5166de666324,2022-10-13 15:27:51.840,Grocery2,Cincinnati,,,0,,1,0,1,0,0,0,10.45,10.45,1,0,0,0.0,0.0,0.0,0.0,15,Thursday,False,Afternoon(15-17),Grocery2/3,0,unassigned_6a27ea34-dcb0-433f-992e-5166de666324
eafd30c3-0fa0-40ba-8ed0-77c196a86c96,2022-10-13 15:08:09.024,Grocery2,Cincinnati,,,0,,1,0,2,0,0,0,38.4,19.2,2,0,0,0.0,0.0,0.0,0.0,15,Thursday,False,Afternoon(15-17),Grocery2/3,0,unassigned_eafd30c3-0fa0-40ba-8ed0-77c196a86c96
99572a6d-8e18-467a-bd7c-86526931d5d3,2022-10-13 12:45:38.016,Grocery1,Cincinnati,,,0,,1,0,8,1,1,7,36.15,4.51875,3,0,1,0.125,0.125,0.125,0.0,12,Thursday,False,Midday(11-14),Grocery1,0,unassigned_99572a6d-8e18-467a-bd7c-86526931d5d3
8296cf6e-74fa-409f-a9d9-6cec0b02f5d1,2022-10-13 12:25:45.696,Grocery1,Cincinnati,,,0,,1,0,8,0,0,0,16.4,2.05,4,0,1,0.0,0.0,0.0,0.0,12,Thursday,False,Midday(11-14),Grocery1,0,unassigned_8296cf6e-74fa-409f-a9d9-6cec0b02f5d1
31fc0c9f-cccc-494c-8c99-c5d67b54485a,2022-10-13 11:11:49.920,Grocery2,Cincinnati,,,0,,1,0,1,0,0,0,8.65,8.65,1,0,1,0.0,0.0,0.0,0.0,11,Thursday,False,Midday(11-14),Grocery2/3,0,unassigned_31fc0c9f-cccc-494c-8c99-c5d67b54485a
927df36b-d653-4e67-90dc-f7abe874b24f,2022-10-13 11:58:33.600,Grocery2,Cincinnati,,,0,,1,0,2,0,0,0,4.949999999999999,2.4749999999999996,2,0,1,0.0,0.0,0.0,0.0,11,Thursday,False,Midday(11-14),Grocery2/3,0,unassigned_927df36b-d653-4e67-90dc-f7abe874b24f
633d63c6-7120-40f1-b24b-b92b4a224bac,2022-10-13 06:22:19.200,Grocery2,Cincinnati,,,0,,1,0,2,0,0,0,27.979999999999997,13.989999999999998,1,1,0,0.0,0.0,0.0,0.0,6,Thursday,False,Morning(6-10),Grocery2/3,0,unassigned_633d63c6-7120-40f1-b24b-b92b4a224bac
4d208319-01fd-47a7-bd27-0be751792be7,2022-10-12 22:51:06.624,Grocery1,Cincinnati,,,0,,1,0,2,2,0,0,10.35,5.175,1,0,0,1.0,0.0,1.0,1.0,22,Wednesday,False,Night(22-23),Grocery1,0,unassigned_4d208319-01fd-47a7-bd27-0be751792be7
ec8dc4c9-6c9c-4935-99ba-4bc9da846610,2022-10-12 23:14:28.896,DashMart1,Cincinnati,,,0,,1,0,3,0,0,0,13.57,4.523333333333333,3,0,1,0.0,0.0,0.0,0.0,23,Wednesday,False,Night(22-23),DashMart1,0,unassigned_ec8dc4c9-6c9c-4935-99ba-4bc9da846610
77931831-ed93-4fae-a10d-aa1161b03f81,2022-10-12 22:13:24.672,Grocery2,Cincinnati,,,0,,1,0,1,0,0,0,11.99,11.99,1,1,0,0.0,0.0,0.0,0.0,22,Wednesday,False,Night(22-23),Grocery2/3,0,unassigned_77931831-ed93-4fae-a10d-aa1161b03f81
f98646a7-8cf5-4a01-8a86-99a2c748f756,2022-10-12 21:04:54.624,Grocery2,Cincinnati,,,0,,1,0,1,0,0,0,2.9,2.9,1,0,1,0.0,0.0,0.0,0.0,21,Wednesday,False,Evening(18-21),Grocery2/3,0,unassigned_f98646a7-8cf5-4a01-8a86-99a2c748f756
690cfa60-d434-4f7f-893a-eb3a07eb4cdc,2022-10-12 20:13:07.680,Grocery1,Cincinnati,,,0,,1,0,2,1,0,1,8.65,4.325,1,0,1,0.5,0.0,0.5,0.5,20,Wednesday,False,Evening(18-21),Grocery1,0,unassigned_690cfa60-d434-4f7f-893a-eb3a07eb4cdc
825d77ed-5ba0-4540-8531-1cf9e7193b14,2022-10-12 12:22:58.944,Grocery1,Cincinnati,,,0,,1,0,2,1,0,1,4.35,2.175,2,0,1,0.5,0.0,0.5,0.5,12,Wednesday,False,Midday(11-14),Grocery1,0,unassigned_825d77ed-5ba0-4540-8531-1cf9e7193b14
82d233d7-47b9-48bb-aee5-a4aaaf5244ae,2022-10-12 08:43:05.664,DashMart1,Cincinnati,,,0,,1,0,6,0,0,0,16.54,2.7566666666666664,3,0,1,0.0,0.0,0.0,0.0,8,Wednesday,False,Morning(6-10),DashMart1,0,unassigned_82d233d7-47b9-48bb-aee5-a4aaaf5244ae
76d58270-db4e-4166-8a16-0b196b14e24a,2022-10-12 01:27:02.016,DashMart1,Cincinnati,,,0,,1,0,1,0,0,1,6.69,6.69,1,0,0,0.0,0.0,0.0,0.0,1,Wednesday,False,Overnight(0-5),DashMart1,0,unassigned_76d58270-db4e-4166-8a16-0b196b14e24a
625f5211-5358-4c28-80a6-3e2aece19032,2022-10-11 22:36:34.848,Grocery2,Cincinnati,,,0,,1,0,1,0,0,0,6.99,6.99,1,1,0,0.0,0.0,0.0,0.0,22,Tuesday,False,Night(22-23),Grocery2/3,0,unassigned_625f5211-5358-4c28-80a6-3e2aece19032
a393a6e1-8753-413d-aea4-4e65c522a4fd,2022-10-11 23:07:33.312,DashMart1,Cincinnati,,,0,,1,0,2,0,0,2,3.98,1.99,2,0,0,0.0,0.0,0.0,0.0,23,Tuesday,False,Night(22-23),DashMart1,0,unassigned_a393a6e1-8753-413d-aea4-4e65c522a4fd
0bf5db70-7284-4678-aa88-ccba27775155,2022-10-11 22:08:02.400,Grocery2,Cincinnati,,,0,,1,0,4,0,0,0,9.2,2.3,2,0,1,0.0,0.0,0.0,0.0,22,Tuesday,False,Night(22-23),Grocery2/3,0,unassigned_0bf5db70-7284-4678-aa88-ccba27775155
512a84e9-3bf3-4108-ba83-67915682b78c,2022-10-11 19:58:17.760,Grocery1,Cincinnati,,,0,,1,0,1,1,0,0,3.45,3.45,1,0,0,1.0,0.0,1.0,1.0,19,Tuesday,False,Evening(18-21),Grocery1,0,unassigned_512a84e9-3bf3-4108-ba83-67915682b78c
