"term","estimate_R","se_naive_R","se_clust_R","p_clust_R"
"(Intercept)",-6.17719876144079,0.129323347498175,0.128910972103424,0
"ITEM_CATEGORY_GRPAlcohol",0.0143644142917682,0.17399851953295,0.176809256676144,0.935249153911413
"ITEM_CATEGORY_GRPBaby & Child",0.458458824298755,0.147989816739009,0.166448703369356,0.00588079354991096
"ITEM_CATEGORY_GRPBakery",0.423731518857117,0.12421778466131,0.122718710628675,0.000554660181026257
"ITEM_CATEGORY_GRPCandy",0.319105333115103,0.114028631857628,0.116480184146482,0.00615200707005228
"ITEM_CATEGORY_GRPDairy & Eggs",-0.199733579183138,0.0784975803768266,0.073424496956336,0.00652309884418171
"ITEM_CATEGORY_GRPFresh Food",0.360647261565041,0.141418692498956,0.154144594667144,0.0193008599109962
"ITEM_CATEGORY_GRPFrozen",0.367086690362639,0.073892673631852,0.0739252931004039,6.8473451979578e-07
"ITEM_CATEGORY_GRPHealth",0.402424244576095,0.147684022717024,0.151670151743642,0.00797123694268874
"ITEM_CATEGORY_GRPHousehold",0.547997512519584,0.0824945883817815,0.0839108041180454,6.54566304045495e-11
"ITEM_CATEGORY_GRPIce Cream",-0.73739602768783,0.591756124568317,0.580040644750047,0.203627855088249
"ITEM_CATEGORY_GRPMeat & Fish",-0.245116652660693,0.0999582987446745,0.106770003915646,0.0216904926212987
"ITEM_CATEGORY_GRPMedicine",0.30165134443111,0.387206063636252,0.381315627217304,0.428897036813634
"ITEM_CATEGORY_GRPOther/Rare",0.47071681169576,0.148792604118613,0.147517737363949,0.0014182216348709
"ITEM_CATEGORY_GRPPantry",-0.0348994754576394,0.0684602831494625,0.0698392308682312,0.617278146656102
"ITEM_CATEGORY_GRPPersonal Care",0.18451982573234,0.11680026521901,0.11620795521379,0.112322161595335
"ITEM_CATEGORY_GRPPet Care",-0.209583124240594,0.157327216509873,0.167588428379655,0.211086907207422
"ITEM_CATEGORY_GRPProduce",-0.475695105722541,0.0832427703157071,0.0965701352271154,8.39717073156439e-07
"ITEM_CATEGORY_GRPSnacks",-0.0521694613939457,0.0785005108370556,0.0814679520908672,0.52193344676346
"ITEM_PRICE",0.00597056479173327,0.00362903143274564,0.00310976699517298,0.0548655295312302
"DELIV_STORE_NAMEGrocery1",4.3518531461677,0.123795339548949,0.128434133407993,1.14902232120765e-251
"DELIV_STORE_NAMEGrocery2",4.16400826751492,0.126702299209712,0.132910378260996,1.85409163640626e-215
"DELIV_STORE_NAMEGrocery3",4.08585984081598,0.155578340575717,0.163468148842096,6.95689571903111e-138
