"term","estimate_R","se_naive_R","se_clust_R","p_clust_R"
"(Intercept)",-3.85282670396626,0.236192294441725,0.260268790933322,1.3955073752455e-49
"DELIV_STORE_NAMEGrocery1",1.52134180979125,0.188670020729069,0.223179265932458,9.31679758496513e-12
"DELIV_STORE_NAMEGrocery2",1.83015204660309,0.222068230538254,0.251899363954088,3.71909698529477e-13
"DELIV_STORE_NAMEGrocery3",1.1332339012639,0.603339763436633,0.616404100890518,0.0659947420989443
"order_value",-0.0369799436900449,0.00983643130193498,0.00990859735636843,0.000189884948089484
"n_items_requested",-0.0358472895559453,0.0472018340905701,0.049346041237033,0.467564713570612
"daypartAfternoon(15-17)",-0.248249669852924,0.254062681348945,0.257682572729145,0.335350176141283
"daypartEvening(18-21)",-0.254842499374922,0.218815958897592,0.228215661233824,0.264133730932491
"daypartMorning(6-10)",-0.491952825533129,0.312873415034557,0.316592052968643,0.120207944377623
"daypartNight(22-23)",0.0772560893680079,0.267985814049309,0.277648033628627,0.780819006538356
"daypartOvernight(0-5)",1.29633771203423,0.270428478027974,0.287168453298604,6.35542550343687e-06
"is_weekendTrue",0.133660869638725,0.154529237862079,0.155501890033319,0.390039912795075
"has_perishable",-0.391176260415332,0.161769107578674,0.161524135872814,0.0154446084936982
"has_alcohol",0.76900337334661,0.343232866389201,0.33250549278847,0.0207361740153152
