term,coef,se_clustered,se_naive,p_clustered,p_naive,odds_ratio,or_lo,or_hi
Intercept,-3.852826703966189,0.2602688316960144,0.23619231013143324,1.3955554874020138e-49,8.076955238937453e-60,0.021219669858203158,0.012740820335255454,0.0353410829948814
"C(DELIV_STORE_NAME, Treatment(reference='DashMart1'))[T.Grocery1]",1.5213418097912301,0.2231792880231024,0.18867003034037644,9.316841322877899e-12,7.413724900347639e-16,4.5783643695577725,2.9562407466934633,7.090566058898063
"C(DELIV_STORE_NAME, Treatment(reference='DashMart1'))[T.Grocery2]",1.8301520466030656,0.25189939280031154,0.22206824410437467,3.719119877670809e-13,1.7021472086489879e-16,6.234834571876719,3.8054654472125278,10.215087399399046
"C(DELIV_STORE_NAME, Treatment(reference='DashMart1'))[T.Grocery3]",1.1332339012638633,0.6164041915570684,0.6033398088189765,0.06599478191266023,0.06034450159078704,3.1056837524260494,0.9278398707950298,10.395405364309783
"C(daypart, Treatment(reference='Midday(11-14)'))[T.Overnight(0-5)]",1.2963377120342383,0.2871684784886891,0.27042848993433166,6.355437376835468e-06,1.6377939388862284e-06,3.655883223530197,2.082351609757345,6.418455980950793
"C(daypart, Treatment(reference='Midday(11-14)'))[T.Morning(6-10)]",-0.4919528255331058,0.3165921009964598,0.31287343871537304,0.12020800061573146,0.1158647551608433,0.611431209093402,0.32874860420085783,1.137185431896182
"C(daypart, Treatment(reference='Midday(11-14)'))[T.Afternoon(15-17)]",-0.24824966985290958,0.2576826084570458,0.2540626988835282,0.33535024314920536,0.32850989255039664,0.7801651352456379,0.4708111118232396,1.2927852018950599
"C(daypart, Treatment(reference='Midday(11-14)'))[T.Evening(18-21)]",-0.2548424993749064,0.2282156900444506,0.21881597271589628,0.26413379123006053,0.24416351480291254,0.7750385574058722,0.49552521794635884,1.2122183568280078
"C(daypart, Treatment(reference='Midday(11-14)'))[T.Night(22-23)]",0.0772560893680086,0.277648060852518,0.2679858270968783,0.7808190274805056,0.773129173188714,1.0803186991039222,0.6269276659719416,1.861599918108933
is_weekend[T.True],0.13366086963872392,0.15550190739879144,0.1545292465686238,0.3900399657281831,0.3870633987519022,1.1430051261676706,0.8427227429374438,1.550285345203449
order_value,-0.036979943690048325,0.00990860121429044,0.009836433186262889,0.00018988604374649038,0.0001702620549037758,0.9636954633301403,0.9451605750766735,0.982593826417014
n_items_requested,-0.03584728955596279,0.04934606255349864,0.047201843826894595,0.46756490588518806,0.44758532291441144,0.9647876153791868,0.8758470577136902,1.0627599129223042
has_perishable,-0.3911762604153109,0.16152415247348542,0.1617691154786089,0.01544461907134097,0.015601162364481114,0.6762609474982597,0.4927478077860495,0.9281195408378471
has_alcohol,0.7690033733466232,0.332505541330022,0.3432328919980324,0.020736192589106837,0.02506035527178243,2.1576148454248627,1.1244617623228748,4.140026790756308
