term,coef,se_clustered,se_naive,p_clustered,p_naive
Intercept,4.929984262589844,0.25505019193760214,0.19178105854601285,3.0353752447700295e-83,6.80926159358957e-142
"C(DELIV_STORE_NAME, Treatment(reference='DashMart1'))[T.Grocery1]",0.4006955530513965,0.3342744483253249,0.17072415901535937,0.2306437199041501,0.018939705150488543
"C(DELIV_STORE_NAME, Treatment(reference='DashMart1'))[T.Grocery2]",1.3369105960178331,0.39703337818967305,0.23480438417913208,0.0007592186079780439,1.2722634712425844e-08
"C(DELIV_STORE_NAME, Treatment(reference='DashMart1'))[T.Grocery3]",-0.09125011126738056,0.49781177992813047,0.5278162033968657,0.8545607241754575,0.862746822692382
"C(daypart, Treatment(reference='Midday(11-14)'))[T.Overnight(0-5)]",0.7532442449415863,0.3781059256444464,0.28877748941807385,0.04635444998918949,0.009108243653711144
"C(daypart, Treatment(reference='Midday(11-14)'))[T.Morning(6-10)]",0.08089409218119037,0.2945491857533728,0.25535276980946153,0.7835951698025756,0.7514058426381159
"C(daypart, Treatment(reference='Midday(11-14)'))[T.Afternoon(15-17)]",0.18834213101890196,0.23468041158414965,0.21941795088898158,0.42223643810506795,0.3907045240902461
"C(daypart, Treatment(reference='Midday(11-14)'))[T.Evening(18-21)]",0.2915148519695163,0.2057697644710148,0.1912280580510843,0.15656948201656687,0.12742638522831148
"C(daypart, Treatment(reference='Midday(11-14)'))[T.Night(22-23)]",0.2662829125270022,0.28164643770142483,0.23173263968141267,0.3444286640800709,0.25053962219464415
is_weekend[T.True],0.06866108567829787,0.1473479394469634,0.13576931013041985,0.6412303369045799,0.6130634252263889
n_items_requested,0.042616208240971926,0.03368562281755666,0.029145935717448626,0.2058298774678644,0.14372189020245146
order_value,-0.03989847737896042,0.006700181027805644,0.006058683683496037,2.6033318569290853e-09,4.728535220178071e-11
